M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
128,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
256,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
512,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
1024,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
2048,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
4096,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
8192,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
16384,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
24576,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
32768,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
49152,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
65536,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
67268,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
1,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
24,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
40,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
48,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
56,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
96,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
512,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
1024,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
2048,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
4096,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
8192,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
16384,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
16817,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False
1,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
2,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
4,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
8,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
16,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
24,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
32,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
40,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
48,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
56,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
64,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
96,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
128,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
256,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
512,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
1024,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
2048,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
4096,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
8192,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
16384,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
