tp_label,stage,rank,category,sub_kernel,total_time_us,call_count,avg_time_us
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::vectorized_elementwise_kernel<8, at::native::sigmoid_kernel_...",10690.3,1824,5.9
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::vectorized_elementwise_kernel<8, at::native::BinaryFunctor<c...",10175.8,1824,5.6
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_dcp_a2a_unpack_combine_kernel.kd,9490.6,2007,4.7
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void gemm_a16w16_flatmm_splitk_kernel<opus_flatmm_splitk_traits_gfx950<256, o...",8909.2,443,20.1
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_ZN5aiter37bf16gemm_fp32bf16_tn_32x64_pf3_splitkE.kd,8112.3,750,10.8
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kerne...",7378.6,1476,5.0
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add...",6743.4,905,7.5
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void opus_moe_stage2_reduce_token_slot_route_output_kernel_gfx950<3072, 384, ...",6715.3,184,36.5
k3_conc1_dcp8_isl84k,PREFILL,5,Other,mscclKernel_Sum_hip_bfloat16_LL_false,6012.1,375,16.0
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void kn_mla_reduce_v1<MlaReduceKernelV1Traits<512, 64, 4>, float, std::bfloat...",5900.0,375,15.7
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_ker...",5196.0,1123,4.6
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::_scatter_gather_elementwise_kernel<256, 4, at::native::_cuda...",3324.8,760,4.4
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_prepare_dflash_inputs_kernel.kd,2714.8,75,36.2
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void splitk_reduce_kernel<16, 64, std::bfloat16_t, false, std::bfloat16_t, true>",2159.7,443,4.9
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSe...",1868.0,446,4.2
k3_conc1_dcp8_isl84k,PREFILL,5,Other,void ,1835.2,440,4.2
k3_conc1_dcp8_isl84k,PREFILL,5,Other,void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_4...,1817.4,422,4.3
k3_conc1_dcp8_isl84k,PREFILL,5,Other,kernel.kd,1654.5,375,4.4
k3_conc1_dcp8_isl84k,PREFILL,5,Other,void vllm::kimi_k3_fused_ops::fusedKimiK3MLADecodeQConcatKVCacheKernel<c10::B...,1534.6,375,4.1
k3_conc1_dcp8_isl84k,PREFILL,5,Other,void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_ad...,994.3,225,4.4
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<i...",942.8,228,4.1
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::",933.3,228,4.1
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_expand_page_indices_kernel.kd,913.5,211,4.3
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::vectorized_gather_kernel<16, long>",887.3,151,5.9
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_dcp_local_seq_lens_kernel.kd,665.6,151,4.4
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::vectorized_elementwise_kernel<2, at::native::CUDAFunctorOnSe...",658.4,150,4.4
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_rejection_kernel.kd,648.0,68,9.5
k3_conc1_dcp8_isl84k,PREFILL,5,Other,__amd_rocclr_fillBufferAligned.kd,642.8,143,4.5
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_compute_slot_mappings_kernel.kd,553.0,76,7.3
k3_conc1_dcp8_isl84k,PREFILL,5,Other,precopy_mamba_align_fused_kernel.kd,548.2,76,7.2
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_bias_kernel.kd,534.0,75,7.1
k3_conc1_dcp8_isl84k,PREFILL,5,Other,void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>...,532.9,228,2.3
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void vllm::rms_norm_kernel<c10::BFloat16, 8, 3, true>",491.1,75,6.5
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_compute_local_logits_stats_kernel.kd,473.3,68,7.0
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_scatter_num_accepted_kernel.kd,430.2,75,5.7
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void vllm::rotary_embedding_kernel<c10::BFloat16, float, false>",411.3,75,5.5
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_post_update_kernel.kd,393.0,75,5.2
k3_conc1_dcp8_isl84k,PREFILL,5,Other,postprocess_mamba_fused_kernel.kd,377.2,75,5.0
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16tofloat...",373.6,75,5.0
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_gather_block_tables_kernel.kd,357.2,76,4.7
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_prepare_pos_seq_lens_kernel.kd,347.3,76,4.6
k3_conc1_dcp8_isl84k,PREFILL,5,Other,preprocess_mamba_align_fused_kernel.kd,342.3,76,4.5
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_apply_write_kernel.kd,183.1,17,10.8
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_expand_idx_mapping_kernel.kd,171.2,68,2.5
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_prepare_prefill_inputs_kernel.kd,135.9,8,17.0
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_chunk_metadata_kernel.kd,109.8,24,4.6
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::compare_scalar_...",105.3,24,4.4
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add...",95.6,24,4.0
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_zero_kv_blocks_kernel.kd,48.5,6,8.1
k3_conc1_dcp8_isl84k,PREFILL,5,Other,__amd_rocclr_streamOpsWrite.kd,17.6,5,3.5
k3_conc1_dcp8_isl84k,PREFILL,5,Quantization,dynamic per-group quant,15545.1,736,21.1
k3_conc1_dcp8_isl84k,PREFILL,5,Sampling,Sampling,3574.4,819,4.4
k3_conc1_dcp8_isl84k,PREFILL,5,Sampling,ArgMax/Reduce,2805.1,532,5.3
k3_conc1_dcp8_isl84k,PREFILL,5,Triton Fused,Triton fused op,10426.4,1783,5.8
k3_conc1_dcp8_isl84k,PREFILL,6,Activation,SiLU/SwiGLU,1584.6,375,4.2
k3_conc1_dcp8_isl84k,PREFILL,6,Attention,aiter attn,659092.2,408,1615.4
k3_conc1_dcp8_isl84k,PREFILL,6,Attention,MLA attn residual,479646.9,14212,33.7
k3_conc1_dcp8_isl84k,PREFILL,6,Attention,MLA merge states,17831.2,240,74.3
k3_conc1_dcp8_isl84k,PREFILL,6,Communication,NCCL/RCCL,1594500.6,3792,420.5
k3_conc1_dcp8_isl84k,PREFILL,6,Communication,CustomAR 2-stage,270950.9,14378,18.8
k3_conc1_dcp8_isl84k,PREFILL,6,Communication,CustomAR 1-stage,57717.7,6256,9.2
k3_conc1_dcp8_isl84k,PREFILL,6,GEMM,hipBLASLt (Cijk),1271739.7,28256,45.0
k3_conc1_dcp8_isl84k,PREFILL,6,GEMM,AITER hgemm bf16,255556.4,30874,8.3
k3_conc1_dcp8_isl84k,PREFILL,6,GEMM,AITER flydsl MoE,160131.8,6256,25.6
k3_conc1_dcp8_isl84k,PREFILL,6,GEMM,AITER wfp4 batched,16431.7,3264,5.0
k3_conc1_dcp8_isl84k,PREFILL,6,GEMM,rocBLAS splitK,11552.9,532,21.7
k3_conc1_dcp8_isl84k,PREFILL,6,KDA Linear Attn,KDA gated-delta,383432.5,6348,60.4
k3_conc1_dcp8_isl84k,PREFILL,6,KDA Linear Attn,KDA conv1d,84681.5,6348,13.3
k3_conc1_dcp8_isl84k,PREFILL,6,KDA Linear Attn,KDA gate/state,63705.9,2760,23.1
k3_conc1_dcp8_isl84k,PREFILL,6,KDA Linear Attn,KDA GLA,30647.3,552,55.5
k3_conc1_dcp8_isl84k,PREFILL,6,Memory,Fill,9958.1,1931,5.2
k3_conc1_dcp8_isl84k,PREFILL,6,Memory,Memcpy,234.9,26,9.0
k3_conc1_dcp8_isl84k,PREFILL,6,MoE Routing,MoE sort mxfp4,158684.8,22448,7.1
k3_conc1_dcp8_isl84k,PREFILL,6,MoE Routing,AITER grouped_topk,110624.4,6992,15.8
k3_conc1_dcp8_isl84k,PREFILL,6,Normalization,Add+RMSNorm+quant,51061.4,7967,6.4
k3_conc1_dcp8_isl84k,PREFILL,6,Normalization,LayerNorm,36567.0,5244,7.0
k3_conc1_dcp8_isl84k,PREFILL,6,Normalization,RMSNorm,11049.7,1824,6.1
k3_conc1_dcp8_isl84k,PREFILL,6,Other,void opus_moe::stage1_a8w4::pipeline_group_split::opus_moe_stage1_a8w4_kernel...,488801.3,736,664.1
k3_conc1_dcp8_isl84k,PREFILL,6,Other,void opus_moe_stage2_a8w4_decode_kernel_gfx950<OpusMoeStage2A8W4DecodeShape<o...,362536.0,736,492.6
k3_conc1_dcp8_isl84k,PREFILL,6,Other,_ZN5aiter24bf16gemm_bf16_tn_256x256E.kd,318957.8,587,543.4
k3_conc1_dcp8_isl84k,PREFILL,6,Other,void gemm_a16w16_persistent_4g_safe_kernel<opus_gemm_a16w16_persistent_traits...,181866.1,580,313.6
k3_conc1_dcp8_isl84k,PREFILL,6,Other,gemm2_a4w4_port_hmax8192_imax8192_bm32_bn128_bk128_atomic_a8_g2ks2_bhoist_apf...,91463.8,6256,14.6
k3_conc1_dcp8_isl84k,PREFILL,6,Other,"void opus_moe_stage2_reduce_token_slot_route_output_kernel_gfx950<3584, 448, ...",89053.8,552,161.3
k3_conc1_dcp8_isl84k,PREFILL,6,Other,_ZN5aiter45mla_a8w8_qh32_qseqlen4_gqaratio32_lse_cprr_psE.kd,71780.3,2007,35.8
k3_conc1_dcp8_isl84k,PREFILL,6,Other,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_ker...",55197.2,6579,8.4
k3_conc1_dcp8_isl84k,PREFILL,6,Other,void vllm::situ_and_mul_kernel<c10::BFloat16>,48304.0,7068,6.8
k3_conc1_dcp8_isl84k,PREFILL,6,Other,"void vllm::gather_and_maybe_dequant_cache_page<__hip_bfloat16, unsigned char, ",47893.6,240,199.6
k3_conc1_dcp8_isl84k,PREFILL,6,Other,__amd_rocclr_copyBuffer.kd,42163.0,6550,6.4
k3_conc1_dcp8_isl84k,PREFILL,6,Other,mscclKernel_Sum_hip_bfloat16_Simple_false,23064.7,1632,14.1
k3_conc1_dcp8_isl84k,PREFILL,6,Other,"void kn_mla_reduce_v1<MlaReduceKernelV1Traits<512, 128, 1>, float, std::bfloa...",21886.9,1632,13.4
k3_conc1_dcp8_isl84k,PREFILL,6,Other,"void gqa_d192_v128_kernel<opus_gqa_d192_traits<32, 64, 8, true, true> >",21344.3,24,889.3
k3_conc1_dcp8_isl84k,PREFILL,6,Other,void at::native::,20960.1,1434,14.6
k3_conc1_dcp8_isl84k,PREFILL,6,Other,"void kn_get_mla_metadata_v1_2<MlaMetadataV12Traits<128, true, 0, true, false> >",15071.3,211,71.4
k3_conc1_dcp8_isl84k,PREFILL,6,Other,"void vllm::concat_and_cache_mla_kernel<__hip_bfloat16, unsigned char, ",13100.5,2199,6.0
k3_conc1_dcp8_isl84k,PREFILL,6,Other,_dcp_a2a_pack_send_kernel.kd,12049.0,2007,6.0
k3_conc1_dcp8_isl84k,PREFILL,6,Other,"void at::native::vectorized_elementwise_kernel<8, at::native::sigmoid_kernel_...",10433.6,1824,5.7
k3_conc1_dcp8_isl84k,PREFILL,6,Other,"void at::native::vectorized_elementwise_kernel<8, at::native::BinaryFunctor<c...",9961.6,1824,5.5
k3_conc1_dcp8_isl84k,PREFILL,6,Other,_dcp_a2a_unpack_combine_kernel.kd,9322.4,2007,4.6
k3_conc1_dcp8_isl84k,PREFILL,6,Other,"void gemm_a16w16_flatmm_splitk_kernel<opus_flatmm_splitk_traits_gfx950<256, o...",8635.5,443,19.5
k3_conc1_dcp8_isl84k,PREFILL,6,Other,_ZN5aiter37bf16gemm_fp32bf16_tn_32x64_pf3_splitkE.kd,7993.7,750,10.7
k3_conc1_dcp8_isl84k,PREFILL,6,Other,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kerne...",7173.9,1477,4.9
