M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
885,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
893,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
897,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
907,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
908,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
909,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
912,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
921,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
922,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
933,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
934,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
937,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
939,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
942,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
948,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
950,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
953,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
957,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
962,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
965,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
968,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
969,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
971,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
972,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
977,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
978,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
980,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
986,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
996,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
997,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1008,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1020,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1022,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1023,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1025,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1026,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1029,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1052,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1053,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1059,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1060,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1069,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1073,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1076,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1081,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1082,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1083,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1084,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1085,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1086,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1089,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1097,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1100,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1126,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1127,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1128,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1133,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1134,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1140,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1141,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1143,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1150,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1151,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1155,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1156,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1164,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1166,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1175,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1177,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1180,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1181,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1191,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1193,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1208,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1209,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1213,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1215,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1216,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1217,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1221,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1228,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1234,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1236,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1251,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1252,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1253,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1259,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1262,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1270,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1276,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1279,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1284,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1288,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1291,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1293,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1302,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1304,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1305,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1308,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1311,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1314,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1315,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1316,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1321,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1323,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1327,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1335,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1337,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1339,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1345,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1346,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1350,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1356,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1360,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1370,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1371,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1374,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1376,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1377,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1390,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1407,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1417,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1422,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1423,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1426,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1434,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1437,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1444,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1445,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1446,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1448,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1450,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1451,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1454,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1459,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1461,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1462,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1463,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1466,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1478,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1485,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1487,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1489,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1497,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1498,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1499,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1500,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1501,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1502,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1504,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1506,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1509,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1510,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1513,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1518,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1522,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1525,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1532,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1534,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1536,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1537,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1538,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1539,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
